# RAO Surge data generated on 04-Feb-2016 22:15:15
#
#  time period       Amplitude         Phase delay
# (s)               (rad/m)             (radians)
  0.40000000     0.00001014     0.48961714
  0.80000000     0.00025643     2.64194274
  1.20000000     0.00171939    -2.30706249
  1.60000000     0.00791771    -2.00076290
  2.00000000     0.02521427     1.72073585
  2.40000000     0.05887576     0.60394708
  2.80000000     0.10344794     0.14451536
  3.20000000     0.15018771    -0.02523574
  3.60000000     0.19717562    -0.02953991
  4.00000000     0.24057987     0.08930811
  4.40000000     0.27224602     0.29113038
  4.80000000     0.28279384     0.55640288
  5.20000000     0.26810856     0.83577538
  5.60000000     0.23623060     1.06652172
  6.00000000     0.20091049     1.24446520
  6.40000000     0.17002776     1.34622498
  6.80000000     0.14515594     1.40986643
  7.20000000     0.12540066     1.45056850
  7.60000000     0.10960612     1.47730858
  8.00000000     0.09678609     1.51314901
  8.40000000     0.08622774     1.52612488
  8.80000000     0.07742656     1.53552712
  9.20000000     0.07002003     1.54244613
  9.60000000     0.06373141     1.54773130
 10.00000000     0.05835283     1.55177483
 10.40000000     0.05373276     1.55483240
 10.80000000     0.04977497     1.55742215
 11.20000000     0.04648750     1.55944684
 11.60000000     0.04447694     1.56113762
 12.00000000     0.04094235     1.56246894
 12.40000000     0.03803929     1.56340108
 12.80000000     0.03582521     1.56432935
 13.20000000     0.03390430     1.56504293
 13.60000000     0.03219309     1.56569458
 14.00000000     0.03065450     1.56627127
 14.40000000     0.02926314     1.56673820
 14.80000000     0.02799912     1.56714920
 15.20000000     0.02684583     1.56743417
 15.60000000     0.02578950     1.56773913
 16.00000000     0.02481860     1.56802954
 16.40000000     0.02392288     1.56814213
 16.80000000     0.02309421     1.56843696
 17.20000000     0.02232494     1.56859162
 17.60000000     0.02160910     1.56885140
 18.00000000     0.02094127     1.56896519
 18.40000000     0.02031673     1.56911181
 18.80000000     0.01973212     1.56910990
 19.20000000     0.01919715     1.56933623
 19.60000000     0.01867576     1.56947705
 20.00000000     0.01817313     1.56959388
 20.40000000     0.01770991     1.56963467
 20.80000000     0.01727212     1.56970678
 21.20000000     0.01685711     1.56970053
 21.60000000     0.01646307     1.56980966
 22.00000000     0.01608830     1.56985610
 22.40000000     0.01573140     1.56994118
 22.80000000     0.01539104     1.56999270
 23.20000000     0.01506605     1.57001644
 23.60000000     0.01475550     1.57014822
 24.00000000     0.01445826     1.57006798
 24.40000000     0.01417348     1.57009302
 24.80000000     0.01390049     1.57004048
 25.20000000     0.01363838     1.57020425
 25.60000000     0.01338658     1.57025251
 26.00000000     0.01314455     1.57039163
 26.40000000     0.01291154     1.57024597
 26.80000000     0.01268756     1.57025634
 27.20000000     0.01247600     1.57033819
 27.60000000     0.01226221     1.57036031
 28.00000000     0.01206063     1.57035797
 28.40000000     0.01186600     1.57042859
 28.80000000     0.01167793     1.57042887
 29.20000000     0.01149602     1.57041219
 29.60000000     0.01131996     1.57045109
 30.00000000     0.01114947     1.57047466
 30.40000000     0.01098428     1.57042524
 30.80000000     0.01082417     1.57053409
 31.20000000     0.01066881     1.57034612
 31.60000000     0.01051812     1.57051565
 32.00000000     0.01037177     1.57053674
 32.40000000     0.01022962     1.57047134
 32.80000000     0.01009150     1.57054165
 33.20000000     0.00995716     1.57050646
 33.60000000     0.00982652     1.57059443
 34.00000000     0.00969943     1.57058108
 34.40000000     0.00957569     1.57057704
