# MLER wave profile generated on 21-Mar-2016 13:58:16
#
# Config: C
# Source RAO: ../RAO_data/RAO_heave_RM3float.dat
#
### Setup 
# x0:          0.000   (m, peak position) 
# x_start:    -600.000   (m, start position) 
# Rho:        1025.000   (kg/m^3, density of water) 
# g:           9.801   (m/s^2, gravity) 
# depth:      70.000   (m, water depth) 
# startTime:  -150.000   (s) 
# endTime:    150.000   (s) 
# dt:          0.250   (s) 
# t0:          0.000   (s, response peak time) 
#
### Wave info:
# NumFreq: 500.000000    (-, number of frequencies)
# dW:       0.01257 (rad/s, frequency spacing)
# Hs:       9.000  (m, significant wave height) 
# Tp:      15.100  (s, wave period) 
#
# Max wave elevation:   8.550  (m) 
# Min wave elevation:  -7.763  (m) 
# Max WEC Response:     8.563  (m) 
# Min WEC Response:    -7.789  (m) 
#
# Probability of wave exceeding Max wave elevation:  0.00727704
#
# Note: Phase is calculated at X0 and t0.  For starting at a different point along x or in time, phase must be adjusted.
#
#Form of equation for wave elevation:
#   WaveElev = sum( sqrt(SpectAmp) * cos( -k*(x-X0) + w*(t-T0) + Phase) ) * dw
#
#
#   frequency      SpectAmp      Phase     wavenumber
#   (rad/s)          (m^2)       (rad)      (rad^2/m)
0.012566     0.00000000     0.00022431     0.00009488
0.025133     0.00000000     0.00039156     0.00037813
0.037699     0.00000000     0.00051011     0.00083771
0.050265     0.00000000     0.00058835     0.00143289
0.062832     0.00000000     0.00063466     0.00208897
0.075398     0.00000000     0.00065741     0.00272920
0.087965     0.00000000     0.00066497     0.00331723
0.100531     0.00000000     0.00080977     0.00385940
0.113097     0.00000000     0.00095655     0.00437727
0.125664     0.00000000     0.00122972     0.00488788
0.138230     0.00000000     0.00141681     0.00540010
0.150796     0.00000000     0.00174888     0.00591764
0.163363     0.00000000     0.00201383     0.00644209
0.175929     0.00000000     0.00236149     0.00697439
0.188496     0.00000000     0.00269614     0.00751533
0.201062     0.00000000     0.00316797     0.00806572
0.213628     0.00000000     0.00363455     0.00862639
0.226195     0.00000180     0.00408424     0.00919822
0.238761     0.00027229     0.00463153     0.00978212
0.251327     0.01168275     0.00521967     0.01037908
0.263894     0.19958163     0.00581823     0.01099010
0.276460     1.72717691     0.00649825     0.01161626
0.289027     8.90954573     0.00726038     0.01225869
0.301593    31.16310774     0.00801037     0.01291857
0.314159    80.93524552     0.00886050     0.01359714
0.326726   166.82857797     0.00970257     0.01429569
0.339292   287.10170751     0.01080187     0.01501559
0.351858   428.72339713     0.01183726     0.01575822
0.364425   572.21381108     0.01294967     0.01652504
0.376991   698.47917406     0.01427542     0.01731755
0.389557   793.90293712     0.01574435     0.01813726
0.402124   852.29234800    -0.00013694     0.01898572
0.414690   874.26343088     0.00120493     0.01986447
0.427257   865.40453528     0.00288265     0.02077505
0.439823   834.72430771     0.00473841     0.02171895
0.452389   791.50105445     0.00662164     0.02269763
0.464956   732.11772500     0.00867889     0.02371245
0.477522   652.96929911     0.01088696     0.02476469
0.490088   572.92603584     0.01345474     0.02585548
0.502655   500.44440525     0.01624876     0.02698583
0.515221   434.82095193     0.01957788     0.02815654
0.527788   375.87561012     0.01925111     0.02936829
0.540354   323.47904448     0.00839039     0.03062151
0.552920   277.35076059     0.01071692     0.03191648
0.565487   237.11543200     0.01483134     0.03325328
0.578053   202.28232304     0.01868333     0.03463182
0.590619   172.29585795     0.02344054     0.03605184
0.603186   146.61078268     0.02723383     0.03751298
0.615752   124.70060360     0.02317754     0.03901472
0.628319   106.04844948     0.01857264     0.04055651
0.640885    90.19111028     0.02343868     0.04213770
0.653451    76.73639560     0.02887719     0.04375765
0.666018    65.33570258     0.02742143     0.04541569
0.678584    55.67657864     0.02450722     0.04711115
0.691150    47.49088322     0.02279306     0.04884341
0.703717    40.55306010     0.02146445     0.05061187
0.716283    34.67033562     0.02122803     0.05241599
0.728849    29.67874215     0.02753130     0.05425526
0.741416    25.44025910     0.03616631     0.05612924
0.753982    21.83835903     0.03954188     0.05803753
0.766549    18.77415549     0.04075893     0.05997978
0.779115    16.16383623     0.04180758     0.06195570
0.791681    13.93696211     0.04370908     0.06396502
0.804248    12.03460596     0.04705493     0.06600754
0.816814    10.40773228     0.05015281     0.06808306
0.829380     9.01490355     0.05112331     0.07019143
0.841947     7.82088278     0.05040170     0.07233254
0.854513     6.79551990     0.04923682     0.07450627
0.867080     5.91342277     0.04834714     0.07671254
0.879646     5.15326538     0.04836548     0.07895128
0.892212     4.49726634     0.04920742     0.08122244
0.904779     3.93039974     0.05060544     0.08352598
0.917345     3.43989466     0.05231513     0.08586186
0.929911     3.01487827     0.05427404     0.08823005
0.942478     2.64602751     0.05733058     0.09063054
0.955044     2.32546871     0.06110491     0.09306330
0.967611     2.04650013     0.06496898     0.09552832
0.980177     1.80339781     0.06829472     0.09802560
0.992743     1.59126516     0.07077444     0.10055512
1.005310     1.40589460     0.07282714     0.10311688
1.017876     1.24367691     0.07474559     0.10571088
1.030442     1.10151991     0.07681842     0.10833712
1.043009     0.97677032     0.07933425     0.11099558
1.055575     0.86715161     0.08274730     0.11368627
1.068142     0.77071186     0.08750014     0.11640919
1.080708     0.68575800     0.09310825     0.11916433
1.093274     0.61082757     0.09903032     0.12195171
1.105841     0.54465616     0.10472504     0.12477130
1.118407     0.48614911     0.10965111     0.12762312
1.130973     0.43435484     0.11351518     0.13050717
1.143540     0.38844636     0.11682087     0.13342344
1.156106     0.34771303     0.11979270     0.13637193
1.168672     0.31153536     0.12262553     0.13935265
1.181239     0.27937226     0.12551422     0.14236560
1.193805     0.25075061     0.12865364     0.14541076
1.206372     0.22525625     0.13223864     0.14848815
1.218938     0.20252655     0.13638130     0.15159777
1.231504     0.18224084     0.14098244     0.15473961
1.244071     0.16411598     0.14597426     0.15791367
1.256637     0.14790410     0.15129066     0.16111996
1.269203     0.13338793     0.15686552     0.16435847
1.281770     0.12037677     0.16263273     0.16762920
1.294336     0.10870298     0.16852619     0.17093216
1.306903     0.09821903     0.17447979     0.17426735
1.319469     0.08879391     0.18051039     0.17763475
1.332035     0.08031247     0.18673759     0.18103438
1.344602     0.07267531     0.19315735     0.18446624
1.357168     0.06579411     0.19976258     0.18793032
1.369734     0.05959029     0.20654619     0.19142662
1.382301     0.05399387     0.21350107     0.19495515
1.394867     0.04894250     0.22062013     0.19851590
1.407434     0.04438055     0.22789630     0.20210887
1.420000     0.04025838     0.23532246     0.20573407
1.432566     0.03653127     0.24290196     0.20939150
1.445133     0.03315599     0.25073550     0.21308114
1.457699     0.03009722     0.25882510     0.21680301
1.470265     0.02732432     0.26713918     0.22055711
1.482832     0.02480974     0.27564616     0.22434343
1.495398     0.02252871     0.28431447     0.22816197
1.507964     0.02045891     0.29311251     0.23201274
1.520531     0.01858025     0.30200871     0.23589573
1.533097     0.01687463     0.31097149     0.23981094
1.545664     0.01532573     0.31996927     0.24375838
1.558230     0.01391881     0.32897046     0.24773805
1.570796     0.01264058     0.33794350     0.25174993
1.583363     0.01147603     0.34696456     0.25579404
1.595929     0.01041277     0.35611717     0.25987038
1.608495     0.00944283     0.36538075     0.26397894
1.621062     0.00855876     0.37473471     0.26811972
1.633628     0.00775362     0.38415847     0.27229273
1.646195     0.00702093     0.39363145     0.27649796
1.658761     0.00635469     0.40313307     0.28073541
1.671327     0.00574932     0.41264275     0.28500509
1.683894     0.00519965     0.42213990     0.28930700
1.696460     0.00470091     0.43160395     0.29364112
1.709026     0.00424870     0.44101431     0.29800747
1.721593     0.00383894     0.45035041     0.30240605
1.734159     0.00346789     0.45959165     0.30683685
1.746726     0.00313210     0.46872414     0.31129987
1.759292     0.00282595     0.47834330     0.31579512
1.771858     0.00254587     0.48872565     0.32032259
1.784425     0.00229026     0.49970129     0.32488228
1.796991     0.00205754     0.51110033     0.32947420
1.809557     0.00184613     0.52275287     0.33409834
1.822124     0.00165451     0.53448904     0.33875471
1.834690     0.00148119     0.54613894     0.34344330
1.847256     0.00132477     0.55753269     0.34816412
1.859823     0.00118388     0.56850038     0.35291716
1.872389     0.00105723     0.57887214     0.35770242
1.884956     0.00094362     0.58847807     0.36251990
1.897522     0.00084190     0.59714828     0.36736962
1.910088     0.00075100     0.60471289     0.37225155
1.922655     0.00066993     0.61100200     0.37716571
1.935221     0.00059774     0.61584572     0.38211209
1.947787     0.00053360     0.61907417     0.38709070
1.960354     0.00047671     0.62051746     0.39210153
1.972920     0.00042602     0.62042038     0.39714458
1.985487     0.00038018     0.61972504     0.40221986
1.998053     0.00033879     0.61849825     0.40732736
2.010619     0.00030148     0.61676275     0.41246709
2.023186     0.00026792     0.61454128     0.41763904
2.035752     0.00023779     0.61185658     0.42284322
2.048318     0.00021079     0.60873138     0.42807962
2.060885     0.00018664     0.60518842     0.43334824
2.073451     0.00016509     0.60125045     0.43864908
2.086018     0.00014589     0.59694020     0.44398216
2.098584     0.00012882     0.59228041     0.44934745
2.111150     0.00011368     0.58729382     0.45474497
2.123717     0.00010027     0.58200316     0.46017471
2.136283     0.00008842     0.57643119     0.46563668
2.148849     0.00007798     0.57060062     0.47113087
2.161416     0.00006878     0.56453421     0.47665728
2.173982     0.00006070     0.55825469     0.48221592
2.186548     0.00005363     0.55178480     0.48780678
2.199115     0.00004744     0.54514728     0.49342987
2.211681     0.00004204     0.53836486     0.49908518
2.224248     0.00003733     0.53146029     0.50477272
2.236814     0.00003325     0.52445631     0.51049247
2.249380     0.00002970     0.51725618     0.51624446
2.261947     0.00002654     0.50892415     0.52202866
2.274513     0.00002370     0.49929988     0.52784509
2.287079     0.00002115     0.48843706     0.53369375
