# MLER wave profile generated on 21-Mar-2016 14:14:06
#
# Config: C
# Source RAO: ../RAO_data/RAO_pitch_RM3float.dat
#
### Setup 
# x0:          0.000   (m, peak position) 
# x_start:    -600.000   (m, start position) 
# Rho:        1025.000   (kg/m^3, density of water) 
# g:           9.801   (m/s^2, gravity) 
# depth:      70.000   (m, water depth) 
# startTime:  -150.000   (s) 
# endTime:    150.000   (s) 
# dt:          0.250   (s) 
# t0:          0.000   (s, response peak time) 
#
### Wave info:
# NumFreq: 500.000000    (-, number of frequencies)
# dW:       0.01257 (rad/s, frequency spacing)
# Hs:       9.000  (m, significant wave height) 
# Tp:      15.100  (s, wave period) 
#
# Max wave elevation:   8.413  (m) 
# Min wave elevation:  -8.550  (m) 
# Max WEC Response:     0.717  (m) 
# Min WEC Response:    -0.796  (m) 
#
# Probability of wave exceeding Max wave elevation:  0.00821659
#
# Note: Phase is calculated at X0 and t0.  For starting at a different point along x or in time, phase must be adjusted.
#
#Form of equation for wave elevation:
#   WaveElev = sum( sqrt(SpectAmp) * cos( -k*(x-X0) + w*(t-T0) + Phase) ) * dw
#
#
#   frequency      SpectAmp      Phase     wavenumber
#   (rad/s)          (m^2)       (rad)      (rad^2/m)
0.012566     0.00000000    -3.51580478     0.00009488
0.025133     0.00000000    -3.83929454     0.00037813
0.037699     0.00000000    -4.11200296     0.00083771
0.050265     0.00000000    -4.33387106     0.00143289
0.062832     0.00000000    -4.50483989     0.00208897
0.075398     0.00000000    -4.62485047     0.00272920
0.087965     0.00000000    -4.69384383     0.00331723
0.100531     0.00000000    -4.71230109     0.00385940
0.113097     0.00000000    -4.71230828     0.00437727
0.125664     0.00000000    -4.71228149     0.00488788
0.138230     0.00000000    -4.71226280     0.00540010
0.150796     0.00000000    -4.71224057     0.00591764
0.163363     0.00000000    -4.71221186     0.00644209
0.175929     0.00000000    -4.71216031     0.00697439
0.188496     0.00000000    -4.71212223     0.00751533
0.201062     0.00000000    -4.71194568     0.00806572
0.213628     0.00000000    -4.71202225     0.00862639
0.226195     0.00000011    -4.71195198     0.00919822
0.238761     0.00001959    -4.71185491     0.00978212
0.251327     0.00094859    -4.71170640     0.01037908
0.263894     0.01821268    -4.71169739     0.01099010
0.276460     0.17606028    -4.71157864     0.01161626
0.289027     1.01632031    -4.71142013     0.01225869
0.301593     3.96465360    -4.71129931     0.01291857
0.314159    11.44805034    -4.71118653     0.01359714
0.326726    26.22156944    -4.71094196     0.01429569
0.339292    49.87208522    -4.71070405     0.01501559
0.351858    82.32174476    -4.71051864     0.01575822
0.364425   121.28184089    -4.71020667     0.01652504
0.376991   163.20685024    -4.70993575     0.01731755
0.389557   204.25217179    -4.70966222     0.01813726
0.402124   241.13376488    -4.70935082     0.01898572
0.414690   271.58880764    -4.70899203     0.01986447
0.427257   294.45951527    -4.70865651     0.02077505
0.439823   309.55164576    -4.70820458     0.02171895
0.452389   317.37161694    -4.70771448     0.02269763
0.464956   318.85178064    -4.70715269     0.02371245
0.477522   315.14319905    -4.70656407     0.02476469
0.490088   307.47333497    -4.70596305     0.02585548
0.502655   297.08306107    -4.70523201     0.02698583
0.515221   287.63906346    -4.70453709     0.02815654
0.527788   279.57896831    -4.70378380     0.02936829
0.540354   270.81809533    -4.70283397     0.03062151
0.552920   247.00383855    -4.70177313     0.03191648
0.565487   224.95475857    -4.70062320     0.03325328
0.578053   209.08924945    -4.69940125     0.03463182
0.590619   194.11548115    -4.69803456     0.03605184
0.603186   180.17636231    -4.69654183     0.03751298
0.615752   167.07707384    -4.69501118     0.03901472
0.628319   154.85281583    -4.69336748     0.04055651
0.640885   143.45305786    -4.69152325     0.04213770
0.653451   132.86499811    -4.68949982     0.04375765
0.666018   123.04992345    -4.68730121     0.04541569
0.678584   113.97484329    -4.68491246     0.04711115
0.691150   105.59968874    -4.68234081     0.04884341
0.703717    97.87871976    -4.67956639     0.05061187
0.716283    90.77218364    -4.67655220     0.05241599
0.728849    84.23342090    -4.67326681     0.05425526
0.741416    78.21975172    -4.66970007     0.05612924
0.753982    72.69133750    -4.66592587     0.05803753
0.766549    67.60570163    -4.66214171     0.05997978
0.779115    62.93001102    -4.65758770     0.06195570
0.791681    58.63215751    -4.65085204     0.06396502
0.804248    54.67616495    -4.63970451     0.06600754
0.816814    51.03602973    -4.62721876     0.06808306
0.829380    47.68768702    -4.61709902     0.07019143
0.841947    44.60320830    -4.60954412     0.07233254
0.854513    41.75954991    -4.60280162     0.07450627
0.867080    39.13747527    -4.59571929     0.07671254
0.879646    36.71917295    -4.58737244     0.07895128
0.892212    34.48684072    -4.57816924     0.08122244
0.904779    32.42123673    -4.56820422     0.08352598
0.917345    30.50549623    -4.55746378     0.08586186
0.929911    28.72660652    -4.54591233     0.08823005
0.942478    27.07921847    -4.53339197     0.09063054
0.955044    25.54666152    -4.51987248     0.09306330
0.967611    24.11347173    -4.50535200     0.09552832
0.980177    22.76717124    -4.48982866     0.09802560
0.992743    21.50930745    -4.47326065     0.10055512
1.005310    20.34024582    -4.45550627     0.10311688
1.017876    19.23974458    -4.43643299     0.10571088
1.030442    18.19233751    -4.41590876     0.10833712
1.043009    17.18657033    -4.39380153     0.11099558
1.055575    16.22581641    -4.36959098     0.11368627
1.068142    15.33207514    -4.34231069     0.11640919
1.080708    14.48610143    -4.31263791     0.11916433
1.093274    13.67123926    -4.28136407     0.12195171
1.105841    12.87559429    -4.24928058     0.12477130
1.118407    12.09109930    -4.21717888     0.12762312
1.130973    11.32968527    -4.18530565     0.13050717
1.143540    10.62487763    -4.15264823     0.13342344
1.156106     9.96000257    -4.11930543     0.13637193
1.168672     9.32057749    -4.08545485     0.13935265
1.181239     8.69632454    -4.05127413     0.14236560
1.193805     8.08038063    -4.01694086     0.14541076
1.206372     7.46867093    -3.98263267     0.14848815
1.218938     6.87861106    -3.94801861     0.15159777
1.231504     6.33806593    -3.91251203     0.15473961
1.244071     5.83916888    -3.87650340     0.15791367
1.256637     5.37519427    -3.84040093     0.16111996
1.269203     4.94088482    -3.80461281     0.16435847
1.281770     4.53217121    -3.76954724     0.16762920
1.294336     4.14594632    -3.73561243     0.17093216
1.306903     3.77988201    -3.70321656     0.17426735
1.319469     3.43543116    -3.67206036     0.17763475
1.332035     3.11750433    -3.64113323     0.18103438
1.344602     2.82549056    -3.61060713     0.18446624
1.357168     2.55837527    -3.58068132     0.18793032
1.369734     2.31494409    -3.55155511     0.19142662
1.382301     2.09385041    -3.52342777     0.19495515
1.394867     1.89367012    -3.49649859     0.19851590
1.407434     1.71294539    -3.47096686     0.20210887
1.420000     1.55021911    -3.44703186     0.20573407
1.432566     1.40375921    -3.42479022     0.20939150
1.445133     1.26923338    -3.40327195     0.21308114
1.457699     1.14546650    -3.38226052     0.21680301
1.470265     1.03215297    -3.36184645     0.22055711
1.482832     0.92887477    -3.34212026     0.22434343
1.495398     0.83513342    -3.32317246     0.22816197
1.507964     0.75037655    -3.30509357     0.23201274
1.520531     0.67401979    -3.28797410     0.23589573
1.533097     0.60546439    -3.27190457     0.23981094
1.545664     0.54411143    -3.25697550     0.24375838
1.558230     0.48937282    -3.24327739     0.24773805
1.570796     0.44067978    -3.23090076     0.25174993
1.583363     0.39706054    -3.21907761     0.25579404
1.595929     0.35764701    -3.20709214     0.25987038
1.608495     0.32206649    -3.19511319     0.26397894
1.621062     0.28997471    -3.18330962     0.26811972
1.633628     0.26105430    -3.17185026     0.27229273
1.646195     0.23501326    -3.16090397     0.27649796
1.658761     0.21158348    -3.15063958     0.28073541
1.671327     0.19051913    -3.14122594     0.28500509
1.683894     0.17159528    -3.13283190     0.28930700
1.696460     0.15460634    -3.12562630     0.29364112
1.709026     0.13936478    -3.11977798     0.29800747
1.721593     0.12569973    -3.11545580     0.30240605
1.734159     0.11345572    -3.11282860     0.30683685
1.746726     0.10249101    -3.11205294     0.31129987
1.759292     0.09262922    -3.11207262     0.31579512
1.771858     0.08373061    -3.11212399     0.32032259
1.784425     0.07570070    -3.11220638     0.32488228
1.796991     0.06845433    -3.11231913     0.32947420
1.809557     0.06191476    -3.11246157     0.33409834
1.822124     0.05601278    -3.11263301     0.33875471
1.834690     0.05068601    -3.11283281     0.34344330
1.847256     0.04587816    -3.11306027     0.34816412
1.859823     0.04153852    -3.11331474     0.35291716
1.872389     0.03762131    -3.11359553     0.35770242
1.884956     0.03408525    -3.11390199     0.36251990
1.897522     0.03089311    -3.11423344     0.36736962
1.910088     0.02801130    -3.11458920     0.37225155
1.922655     0.02540951    -3.11496861     0.37716571
1.935221     0.02306039    -3.11537100     0.38211209
1.947787     0.02093929    -3.11579570     0.38709070
1.960354     0.01902394    -3.11624203     0.39210153
1.972920     0.01729204    -3.11699847     0.39714458
1.985487     0.01572080    -3.11874247     0.40221986
1.998053     0.01429486    -3.12144991     0.40732736
2.010619     0.01300060    -3.12506393     0.41246709
2.023186     0.01182566    -3.12952772     0.41763904
2.035752     0.01075891    -3.13478441     0.42284322
2.048318     0.00979023    -3.14077718     0.42807962
2.060885     0.00891051    -3.14744918     0.43334824
2.073451     0.00811145    -3.15474358     0.43864908
2.086018     0.00738557    -3.16260353     0.44398216
2.098584     0.00672609    -3.17097219     0.44934745
2.111150     0.00612686    -3.17979272     0.45474497
2.123717     0.00558231    -3.18900828     0.46017471
2.136283     0.00508739    -3.19856204     0.46563668
2.148849     0.00463753    -3.20839715     0.47113087
2.161416     0.00422857    -3.21845677     0.47665728
2.173982     0.00385676    -3.22868406     0.48221592
2.186548     0.00351867    -3.23902218     0.48780678
2.199115     0.00321123    -3.24941429     0.49342987
2.211681     0.00293161    -3.25980356     0.49908518
2.224248     0.00267728    -3.27013313     0.50477272
2.236814     0.00244591    -3.28034618     0.51049247
2.249380     0.00223530    -3.29044828     0.51624446
2.261947     0.00204271    -3.30090473     0.52202866
2.274513     0.00186647    -3.31181351     0.52784509
2.287079     0.00170521    -3.32316417     0.53369375
2.299646     0.00155769    -3.33494625     0.53957463
2.312212     0.00142278    -3.34714929     0.54548773
2.324779     0.00129943    -3.35976282     0.55143305
2.337345     0.00118666    -3.37277640     0.55741061
2.349911     0.00108360    -3.38617955     0.56342038
2.362478     0.00098944    -3.39996183     0.56946238
2.375044     0.00090342    -3.41411276     0.57553660
2.387610     0.00082486    -3.42862190     0.58164305
2.400177     0.00075313    -3.44347877     0.58778172
2.412743     0.00068765    -3.45867293     0.59395261
2.425310     0.00062790    -3.47419390     0.60015573
2.437876     0.00057338    -3.49003124     0.60639107
2.450442     0.00052366    -3.50617448     0.61265864
2.463009     0.00047831    -3.52261316     0.61895843
2.475575     0.00043697    -3.53933682     0.62529044
2.488141     0.00039929    -3.55633501     0.63165468
2.500708     0.00036496    -3.57359725     0.63805114
2.513274     0.00033368    -3.59111310     0.64447983
2.525840     0.00030519    -3.60887209     0.65094074
2.538407     0.00027925    -3.62686377     0.65743387
2.550973     0.00025564    -3.64507766     0.66395923
2.563540     0.00023414    -3.66350333     0.67051682
2.576106     0.00021459    -3.68213029     0.67710662
2.588672     0.00019680    -3.70094810     0.68372865
2.601239     0.00018062    -3.71994629     0.69038291
2.613805     0.00016590    -3.73911441     0.69706938
2.626371     0.00015249    -3.75884790     0.70378809
2.638938     0.00014014    -3.78040550     0.71053901
2.651504     0.00012876    -3.80377212     0.71732216
2.664071     0.00011828    -3.82882921     0.72413754
2.676637     0.00010864    -3.85545822     0.73098514
2.689203     0.00009976    -3.88354059     0.73786496
2.701770     0.00009159    -3.91295777     0.74477700
2.714336     0.00008407    -3.94359121     0.75172127
2.726902     0.00007716    -3.97532235     0.75869777
2.739469     0.00007080    -4.00803264     0.76570649
2.752035     0.00006496    -4.04160353     0.77274743
2.764602     0.00005959    -4.07591646     0.77982059
2.777168     0.00005465    -4.11085288     0.78692598
2.789734     0.00005012    -4.14629424     0.79406360
2.802301     0.00004596    -4.18212197     0.80123344
2.814867     0.00004214    -4.21821754     0.80843550
2.827433     0.00003863    -4.25446238     0.81566979
2.840000     0.00003542    -4.29073794     0.82293630
2.852566     0.00003247    -4.32692567     0.83023503
2.865133     0.00002976    -4.36290701     0.83756599
2.877699     0.00002728    -4.39856342     0.84492917
2.890265     0.00002501    -4.43377633     0.85232458
2.902832     0.00002293    -4.46842719     0.85975221
2.915398     0.00002103    -4.50239746     0.86721206
2.927964     0.00001928    -4.53556857     0.87470414
2.940531     0.00001769    -4.56782197     0.88222844
2.953097     0.00001623    -4.59903911     0.88978497
2.965663     0.00001489    -4.62910144     0.89737372
2.978230     0.00001367    -4.65789040     0.90499469
2.990796     0.00001255    -4.68528744     0.91264789
3.003363     0.00001153    -4.71117400     0.92033331
3.015929     0.00001060    -4.73543153     0.92805096
3.028495     0.00000975    -4.75794148     0.93580083
3.041062     0.00000898    -4.77858530     0.94358292
3.053628     0.00000827    -4.79724442     0.95139724
3.066194     0.00000762    -4.81380031     0.95924378
3.078761     0.00000703    -4.82813439     0.96712255
3.091327     0.00000649    -4.84012813     0.97503354
3.103894     0.00000600    -4.84966296     0.98297675
3.116460     0.00000556    -4.85662034     0.99095219
3.129026     0.00000515    -4.86088170     0.99895985
3.141593     0.00000478    -4.86232850     1.00699973
3.154159     0.00000444    -4.85959632     1.01507184
3.166725     0.00000413    -4.85151549     1.02317618
3.179292     0.00000383    -4.83825964     1.03131274
3.191858     0.00000356    -4.82000237     1.03948152
3.204425     0.00000330    -4.79691729     1.04768252
3.216991     0.00000307    -4.76917800     1.05591575
3.229557     0.00000285    -4.73695812     1.06418121
3.242124     0.00000264    -4.70043125     1.07247889
3.254690     0.00000245    -4.65977100     1.08080879
3.267256     0.00000228    -4.61515098     1.08917091
3.279823     0.00000211    -4.56674480     1.09756526
3.292389     0.00000196    -4.51472607     1.10599184
3.304955     0.00000182    -4.45926838     1.11445063
3.317522     0.00000169    -4.40054536     1.12294166
3.330088     0.00000156    -4.33873062     1.13146490
3.342655     0.00000145    -4.27399774     1.14002037
3.355221     0.00000135    -4.20652036     1.14860807
3.367787     0.00000125    -4.13647207     1.15722798
3.380354     0.00000116    -4.06402648     1.16588012
3.392920     0.00000107    -3.98935720     1.17456449
3.405486     0.00000099    -3.91263785     1.18328108
3.418053     0.00000092    -3.83404202     1.19202989
3.430619     0.00000085    -3.75374332     1.20081093
3.443186     0.00000079    -3.67191537     1.20962419
3.455752     0.00000073    -3.58873177     1.21846968
3.468318     0.00000068    -3.50436613     1.22734739
3.480885     0.00000063    -3.41899206     1.23625732
3.493451     0.00000058    -3.33278317     1.24519948
3.506017     0.00000054    -3.24591306     1.25417386
3.518584     0.00000050    -3.15855534     1.26318047
3.531150     0.00000047    -3.07088363     1.27221930
3.543717     0.00000043    -2.98307152     1.28129035
3.556283     0.00000040    -2.89529263     1.29039363
3.568849     0.00000037    -2.80772056     1.29952913
3.581416     0.00000034    -2.72052893     1.30869686
3.593982     0.00000032    -2.63389134     1.31789680
3.606548     0.00000030    -2.54798141     1.32712898
3.619115     0.00000027    -2.46297272     1.33639338
3.631681     0.00000025    -2.37903891     1.34569000
3.644247     0.00000024    -2.29635357     1.35501884
3.656814     0.00000022    -2.21509031     1.36437991
3.669380     0.00000020    -2.13542275     1.37377321
3.681947     0.00000019    -2.05752448     1.38319872
3.694513     0.00000018    -1.98156912     1.39265647
3.707079     0.00000016    -1.90773027     1.40214643
3.719646     0.00000015    -1.83618155     1.41166862
3.732212     0.00000014    -1.76709656     1.42122303
3.744778     0.00000013    -1.70064891     1.43080967
3.757345     0.00000012    -1.63701221     1.44042853
3.769911     0.00000011    -1.57636006     1.45007962
3.782478     0.00000011    -1.51886608     1.45976293
3.795044     0.00000010    -1.46470387     1.46947846
3.807610     0.00000009    -1.41404704     1.47922622
3.820177     0.00000009    -1.36706920     1.48900620
3.832743     0.00000008    -1.32394396     1.49881841
3.845309     0.00000008    -1.28484493     1.50866283
3.857876     0.00000007    -1.24994570     1.51853949
3.870442     0.00000007    -1.21941990     1.52844837
3.883009     0.00000006    -1.19344113     1.53838947
3.895575     0.00000006    -1.17218299     1.54836279
3.908141     0.00000006    -1.15581911     1.55836834
3.920708     0.00000005    -1.14452307     1.56840611
3.933274     0.00000005    -1.13780677     1.57847611
3.945840     0.00000005    -1.13180832     1.58857833
3.958407     0.00000004    -1.12587311     1.59871278
3.970973     0.00000004    -1.12000106     1.60887945
3.983539     0.00000004    -1.11419206     1.61907834
3.996106     0.00000004    -1.10844601     1.62930946
4.008672     0.00000003    -1.10276281     1.63957280
4.021239     0.00000003    -1.09714236     1.64986837
4.033805     0.00000003    -1.09158457     1.66019615
4.046371     0.00000003    -1.08608933     1.67055617
4.058938     0.00000003    -1.08065654     1.68094841
4.071504     0.00000003    -1.07528610     1.69137287
4.084070     0.00000002    -1.06997791     1.70182955
4.096637     0.00000002    -1.06473188     1.71231846
4.109203     0.00000002    -1.05954789     1.72283959
4.121770     0.00000002    -1.05442586     1.73339295
4.134336     0.00000002    -1.04936568     1.74397853
4.146902     0.00000002    -1.04436726     1.75459634
4.159469     0.00000002    -1.03943048     1.76524637
4.172035     0.00000002    -1.03455526     1.77592862
4.184601     0.00000002    -1.02974148     1.78664310
4.197168     0.00000001    -1.02498906     1.79738980
4.209734     0.00000001    -1.02029789     1.80816872
4.222301     0.00000001    -1.01566788     1.81897987
4.234867     0.00000001    -1.01109891     1.82982325
4.247433     0.00000001    -1.00659090     1.84069884
4.260000     0.00000001    -1.00214374     1.85160666
4.272566     0.00000001    -0.99775733     1.86254671
4.285132     0.00000001    -0.99343157     1.87351898
4.297699     0.00000001    -0.98916636     1.88452347
4.310265     0.00000001    -0.98496161     1.89556019
4.322831     0.00000001    -0.98081721     1.90662913
4.335398     0.00000001    -0.97673306     1.91773030
4.347964     0.00000001    -0.97270906     1.92886368
4.360531     0.00000001    -0.96874511     1.94002930
4.373097     0.00000001    -0.96484111     1.95122713
4.385663     0.00000001    -0.96099697     1.96245720
4.398230     0.00000001    -0.95721258     1.97371948
4.410796     0.00000001    -0.95348784     1.98501399
4.423362     0.00000000    -0.94982265     1.99634072
4.435929     0.00000000    -0.94621691     2.00769968
4.448495     0.00000000    -0.94267053     2.01909086
4.461062     0.00000000    -0.93918339     2.03051427
4.473628     0.00000000    -0.93575541     2.04196989
4.486194     0.00000000    -0.93238648     2.05345775
4.498761     0.00000000    -0.92907650     2.06497782
4.511327     0.00000000    -0.92582537     2.07653013
4.523893     0.00000000    -0.92263300     2.08811465
4.536460     0.00000000    -0.91949928     2.09973140
4.549026     0.00000000    -0.91642410     2.11138037
4.561593     0.00000000    -0.91340738     2.12306157
4.574159     0.00000000    -0.91044902     2.13477499
4.586725     0.00000000    -0.90754890     2.14652063
4.599292     0.00000000    -0.90470693     2.15829850
4.611858     0.00000000    -0.90192302     2.17010860
4.624424     0.00000000    -0.89919706     2.18195091
4.636991     0.00000000    -0.89652895     2.19382545
4.649557     0.00000000    -0.89391859     2.20573222
4.662123     0.00000000    -0.89136588     2.21767121
4.674690     0.00000000    -0.88887073     2.22964242
4.687256     0.00000000    -0.88643302     2.24164586
4.699823     0.00000000    -0.88405267     2.25368152
4.712389     0.00000000    -0.88172957     2.26574940
4.724955     0.00000000    -0.87946362     2.27784951
4.737522     0.00000000    -0.87725472     2.28998184
4.750088     0.00000000    -0.87510278     2.30214640
4.762654     0.00000000    -0.87300769     2.31434318
4.775221     0.00000000    -0.87096934     2.32657219
4.787787     0.00000000    -0.86898765     2.33883342
4.800354     0.00000000    -0.86706251     2.35112687
4.812920     0.00000000    -0.86519382     2.36345255
4.825486     0.00000000    -0.86338149     2.37581045
4.838053     0.00000000    -0.86162540     2.38820057
4.850619     0.00000000    -0.85992547     2.40062292
4.863185     0.00000000    -0.85828159     2.41307749
4.875752     0.00000000    -0.85669366     2.42556429
4.888318     0.00000000    -0.85516158     2.43808331
4.900885     0.00000000    -0.85368526     2.45063455
4.913451     0.00000000    -0.85226458     2.46321802
4.926017     0.00000000    -0.85089946     2.47583372
4.938584     0.00000000    -0.84958978     2.48848163
4.951150     0.00000000    -0.84833546     2.50116177
4.963716     0.00000000    -0.84713640     2.51387414
4.976283     0.00000000    -0.84599248     2.52661873
